epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.053657,43.6262,1.008047,46.8379,0.001000
2,0.943211,53.3059,1.024247,46.1309,0.001000
3,0.867484,58.3381,0.884109,54.4738,0.001000
4,0.808629,62.1151,0.834184,60.6019,0.001000
5,0.768155,64.1919,0.714181,66.3057,0.001000
6,0.747321,65.1905,0.746737,64.6089,0.001000
7,0.733807,65.8747,0.710300,66.7635,0.001000
8,0.725291,66.1926,0.692242,67.4831,0.001000
9,0.717279,66.5955,0.694719,66.8135,0.001000
10,0.711360,66.7557,0.680570,67.9260,0.001000
11,0.707713,66.9120,0.682115,68.1315,0.001000
12,0.702349,67.2265,0.709643,66.9346,0.001000
13,0.700204,67.2959,0.713086,66.6924,0.001000
14,0.697317,67.4111,0.680362,68.3799,0.001000
15,0.693356,67.4990,0.682489,67.6174,0.001000
16,0.691449,67.6629,0.686989,67.6315,0.001000
17,0.688318,67.6912,0.695179,67.5456,0.001000
18,0.686818,67.8343,0.670160,68.3690,0.001000
19,0.685183,67.8727,0.666059,68.6721,0.001000
20,0.683584,67.9972,0.661714,68.8706,0.001000
21,0.681790,68.0102,0.678439,68.2362,0.001000
22,0.679994,68.0765,0.662537,68.8440,0.001000
23,0.678682,68.1928,0.677388,68.2010,0.001000
24,0.677834,68.1682,0.656833,69.1854,0.001000
25,0.675680,68.2731,0.674611,68.3823,0.001000
26,0.674211,68.3830,0.675999,68.5385,0.001000
27,0.673069,68.4515,0.658169,68.9643,0.001000
28,0.672162,68.3772,0.680325,68.0893,0.001000
29,0.671466,68.4321,0.658807,68.7042,0.001000
30,0.670044,68.5979,0.672397,68.5417,0.001000
31,0.668408,68.6006,0.659038,69.0557,0.001000
32,0.667555,68.6263,0.671163,68.5190,0.000500
33,0.658206,69.0600,0.655309,69.4081,0.000500
34,0.657424,69.0729,0.659775,69.1534,0.000500
35,0.656463,69.0671,0.654402,69.2776,0.000500
36,0.655686,69.1593,0.659531,69.2885,0.000500
37,0.654283,69.1484,0.653911,69.3291,0.000500
38,0.654313,69.1814,0.668782,68.9862,0.000500
39,0.653210,69.2249,0.660468,69.0291,0.000500
40,0.652463,69.2830,0.654821,69.3745,0.000500
41,0.652347,69.2879,0.668522,68.9135,0.000500
42,0.651458,69.2821,0.656019,69.3065,0.000500
43,0.650943,69.3321,0.658155,69.1713,0.000500
44,0.650232,69.3359,0.678012,68.6502,0.000500
45,0.649866,69.3258,0.662159,69.2104,0.000250
46,0.644918,69.5604,0.658488,69.3291,0.000250
47,0.644402,69.6620,0.656314,69.5510,0.000250
48,0.643652,69.6294,0.651963,69.6971,0.000250
49,0.643234,69.6274,0.655909,69.4081,0.000250
50,0.642526,69.6894,0.674546,69.1018,0.000250
51,0.642804,69.6999,0.658941,69.3268,0.000250
52,0.641658,69.7075,0.656607,69.5252,0.000250
53,0.641365,69.6894,0.660932,69.4448,0.000250
54,0.641194,69.6564,0.668403,69.2643,0.000250
55,0.639973,69.7473,0.663254,69.4229,0.000250
56,0.640730,69.7238,0.664094,69.2213,0.000125
57,0.637416,69.8843,0.663776,69.2307,0.000125
58,0.637317,69.8620,0.662591,69.4237,0.000125
59,0.636476,69.8620,0.667105,69.2627,0.000125
60,0.637514,69.8734,0.669570,69.2315,0.000125
61,0.636861,69.8910,0.667095,69.4143,0.000125
62,0.636039,69.9258,0.668562,69.2143,0.000125
63,0.635918,69.9245,0.670869,69.2698,0.000125
